B	D	Depth	Discharge	H	Latitude	Longitude	Q	Rp	SedQ	SedQ_err	Slope	Type	Width	WidthControl
11.832	0.042	1.16	122	0.26807	53.5599	-117.921	107746	34629.8	nan	nan	0.0054	1	51.2	1
9.4037	0.043	1.22	62.3	0.368891	52.2701	-114.943	51877.9	35873.9	nan	nan	0.0036	1	31.1	1
10.7468	0.045	0.945	42.5	0.332974	49.6036	-114.416	31588.1	38405.7	nan	nan	0.0024	1	30.5	2
9.07878	0.051	2.04	113	0.486108	53.5779	-116.233	61421.2	46337.4	nan	nan	0.00055	1	38.1	1
10.5533	0.052	0.579	11.9	0.339464	49.3	-113.82	6161.75	47706.9	nan	nan	0.011	1	18	1
9.55456	0.054	1.4	29.4	0.57164	53.9325	-115.12	13852.5	50485.6	nan	nan	0.002	1	23.4	1
15.3219	0.056	0.975	113	0.232331	49.4979	-114.18	48615.4	53316.1	nan	nan	0.0032	1	64.3	1
12.7667	0.079	1.49	278	0.247686	49.5336	-114.034	50599.1	89334.1	nan	nan	0.0037	1	76.8	1
14.1662	0.08	6.95	5440	0.351624	55.725	-117.611	959488	91035.6	nan	nan	0.00052	1	280	1
14.0762	0.089	0.792	53.8	0.253949	51.4278	-116.187	7268.97	106822	nan	nan	0.0035	1	43.9	1
11.3739	0.145	0.762	52.4	0.24692	51.446	-116.171	2089.67	222141	nan	nan	0.015	1	35.1	2
11.6775	0.06	1.4	167.05	0.285314	43.6681	-115.725	60483.1	59129.4	3.63036	2.58307	0.0038	1	57.3	2
11.4861	0.095	2.78	453	0.380136	46.8406	-115.621	51994.2	117805	nan	nan	0.0005	1	84	2
13.2076	0.149822	1.69724	325.596	0.264853	45.3225	-114.44	11964.8	233314	1.8727	1.43602	0.0019	1	84.6371	2
8.50134	0.104	1.82	118	0.426238	44.2683	-114.733	10801	134936	0.494488	0.662807	0.0034	1	36.3	2
10.9992	0.09525	1.02641	86.3537	0.27236	44.0853	-115.622	9846.55	118270	4.03823	1.70516	0.004	1	41.4514	3
11.4523	0.1276	1.38	213.761	0.254825	44.7217	-115.016	11734.6	183380	3.75922	6.72384	0.0041	1	62.02	2
11.0715	0.132	2.64	445.93	0.363271	46.1508	-115.587	22490.4	192947	0.769336	0.0653098	0.0023	1	80.46	2
11.2101	0.185	3.68491	651.192	0.43579	46.0867	-115.514	14123.6	320136	2.12013	0.133589	0.0021	1	94.7897	2
5.69442	0.015	0.3	0.4	0.683331	46.8131	-114.094	4634.44	7391.17	nan	nan	0.051	1	2.5	2
7.31843	0.021	0.7	5.4	0.562956	48.9303	-115.481	26978.1	12243.5	nan	nan	0.008	1	9.1	2
6.34805	0.0226	0.4	1.4	0.552004	47.1472	-113.974	5821.33	13669.1	nan	nan	0.028	1	4.6	2
7.46266	0.027	0.8	26	0.343111	46.5194	-112.793	69299.4	17849.3	nan	nan	0.003	1	17.4	2
5.04562	0.028	0.5	2.1	0.5867	48.7611	-114.891	5110.81	18850.1	nan	nan	0.011	1	4.3	2
8.68088	0.028	0.8	9.8	0.506913	46.4636	-113.24	23850.4	18850.1	nan	nan	0.003	1	13.7	2
5.62483	0.031	0.2	0.5	0.416654	nan	nan	943.477	21959.3	nan	nan	0.035	1	2.7	9
6.1219	0.0325	0.3	3.5	0.286964	47.21	-113.541	5868.47	23572.3	nan	nan	0.008	1	6.4	2
6.61402	0.035	0.7	13.6	0.38906	47.3228	-113.979	18946.7	26343.8	nan	nan	0.016	1	11.9	2
6.31146	0.039	0.3	1.2	0.440334	48.7303	-115.642	1275.51	30986.6	nan	nan	0.022	1	4.3	2
8.80195	0.04	0.6	32	0.236824	47.0942	-113.153	31927.5	32186	nan	nan	0.004	1	22.3	2
3.32222	0.045	0.2	0.3	0.511111	46.8875	-115.925	222.975	38405.7	nan	nan	0.06	1	1.3	2
13.2659	0.05	0.7	39.6	0.253719	47.0186	-113.388	22617	44981.2	nan	nan	0.003	1	36.6	2
6.61961	0.052	0.4	4	0.362719	47.2214	-114.973	2071.18	47706.9	nan	nan	0.013	1	7.3	2
7.0837	0.058	0.3	1.9	0.366398	47.8297	-114.698	748.771	56197.7	nan	nan	0.028	1	5.8	2
7.39061	0.058	0.4	3.7	0.374208	47.7392	-115.674	1458.13	56197.7	nan	nan	0.028	1	7.9	2
6.14998	0.06	0.2	0.4	0.455554	48.2583	-115.2	144.826	59129.4	nan	nan	0.033	1	2.7	2
8.56557	0.06	0.6	12.5	0.344922	45.895	-114.182	4525.82	59129.4	nan	nan	0.015	1	14.9	2
5.8737	0.06	0.5	1.7	0.638446	47.1703	-114.231	615.512	59129.4	nan	nan	0.03	1	4.6	2
12.0174	0.065	0.6	15.7	0.314866	46.1844	-113.501	4653.52	66672.5	nan	nan	0.01	1	22.9	1
7.2414	0.07	0.4	2.3	0.452588	48.9506	-115.542	566.433	74511.5	nan	nan	0.026	1	6.4	2
6.8423	0.08	0.5	32.3	0.196618	46.7439	-114.143	5696.96	91035.6	nan	nan	0.004	1	17.4	2
6.15483	0.08	0.7	2.7	0.742825	46.9125	-113.715	476.216	91035.6	nan	nan	0.05	1	5.8	2
6.47444	0.089	0.8	20.4	0.37807	48.6017	-114.167	2756.26	106822	nan	nan	0.012	1	13.7	2
7.10995	0.1	0.5	3.7	0.46776	48.3447	-115.606	373.566	127226	nan	nan	0.042	1	7.6	2
5.20077	0.1	0.5	5.9	0.388117	47.2661	-114.407	595.686	127226	nan	nan	0.035	1	6.7	2
6.47986	0.105	0.5	9.5	0.320785	46.4714	-113.238	849.016	136886	nan	nan	0.018	1	10.1	2
5.22579	0.105	0.5	17.5	0.25124	nan	nan	1563.98	136886	nan	nan	0.01	1	10.4	9
7.37351	0.11	0.6	7.4	0.425395	48.3017	-115.592	588.729	146780	nan	nan	0.024	1	10.4	2
4.35935	0.11	0.5	5.6	0.396304	47.4914	-114.026	445.525	146780	nan	nan	0.053	1	5.5	2
